anno,mese,poliambulatorio,fattura_emessa,fattura_pagata
2026,4,Giallanza Torrenova,True,True
2026,4,Parisi-Sottile,False,True
2026,1,Selene BG,True,True
2026,3,Selene BG,True,True
2026,2,Pistunina,True,True
2026,3,Pistunina,True,True
2026,2,Tortorici,True,True
2026,3,Tortorici,False,True
2026,1,Tortorici,True,True
2026,1,Parisi-Sottile,True,True
2026,3,Parisi-Sottile,True,True
2026,2,aDoc,False,True
2026,3,aDoc,False,True
2026,1,Cavour ME,False,True
2026,3,Furci,False,True
2026,2,Furci,True,True
2026,3,Giallanza Torrenova,True,True
2026,2,Giallanza Torrenova,True,True
2026,1,Giallanza Torrenova,True,True
2026,1,Panacea BPG,True,True
2026,2,Policenter Leonardo,True,True
2026,1,Policenter Leonardo,True,True
2026,1,aDoc,True,True
2026,2,Giarre,True,True
2026,4,Giarre,True,True
2026,3,Giarre,True,True
2026,3,Cavour ME,True,True
2026,3,Policenter Leonardo,True,True
2026,4,aDoc,True,True
2026,4,Furci,False,True
2026,4,Patti,True,True
2026,4,Tortorici,True,True
2026,4,Policenter Leonardo,True,True
2026,4,Cavour ME,True,True
2026,2,Sinergo ME,True,True
2026,3,Sinergo ME,True,True
2026,4,Sinergo ME,True,True
2026,5,aDoc,True,True
2026,3,Pietro e Paolo,True,True
2026,4,Panacea BPG,True,True
2026,5,Pietro e Paolo,True,True
2026,1,Panacea RC,True,True
2026,2,Panacea RC,True,True
2026,3,Panacea RC,True,True
2026,4,Panacea RC,True,True
2026,5,Patti,True,True
2026,5,Parisi-Sottile,True,True
2026,5,Giarre,True,True
2026,5,Tortorici,True,True
2026,5,Giallanza Torrenova,True,True
2026,5,Policenter Leonardo,True,True
2026,6,Orlandino,True,True
2026,5,Orlandino,True,True
2026,4,Orlandino,True,True
2026,3,Orlandino,True,True
2026,2,Orlandino,True,True
2026,6,aDoc,True,True
2026,6,Giarre,True,True
2026,6,Giallanza Torrenova,True,True
2026,6,Tortorici,True,True
2026,6,Parisi-Sottile,True,True
2026,6,Policenter Leonardo,True,True
2026,7,aDoc,True,True
2026,6,Pietro e Paolo,True,False
2026,7,Pietro e Paolo,True,False
2026,7,Tortorici,True,False
2026,7,Parisi-Sottile,True,True
2026,7,Policenter Leonardo,True,False
2026,7,Giallanza Torrenova,True,True
2026,7,Patti,True,True
2026,7,Sinergo ME,True,True
2026,5,Sinergo ME,True,True
2026,8,Giarre,True,True
2026,7,Giarre,True,True
2026,4,Selene BG,True,True
2026,7,Selene BG,True,True
